,Name,Team,Position,Height,College,Number,Age,Weight,Salary
278,Luke Babbitt,New Orleans Pelicans,SF,6-9,Nevada,8.0,26.0,225.0,1100602.0
279,Norris Cole,New Orleans Pelicans,PG,6-2,Cleveland State,30.0,27.0,175.0,3036927.0
280,Dante Cunningham,New Orleans Pelicans,PF,6-8,Villanova,44.0,29.0,230.0,2850000.0
281,Anthony Davis,New Orleans Pelicans,PF,6-10,Kentucky,23.0,23.0,253.0,7070730.0
282,Bryce Dejean-Jones,New Orleans Pelicans,SG,6-6,Iowa State,31.0,23.0,203.0,169883.0
283,Toney Douglas,New Orleans Pelicans,PG,6-2,Florida State,16.0,30.0,195.0,1164858.0
284,James Ennis,New Orleans Pelicans,SF,6-7,Long Beach State,4.0,25.0,210.0,845059.0
285,Tyreke Evans,New Orleans Pelicans,SG,6-6,Memphis,1.0,26.0,220.0,10734586.0
286,Tim Frazier,New Orleans Pelicans,PG,6-1,Penn State,2.0,25.0,170.0,845059.0
287,Alonzo Gee,New Orleans Pelicans,SF,6-6,Alabama,15.0,29.0,225.0,1320000.0
288,Eric Gordon,New Orleans Pelicans,SG,6-4,Indiana,10.0,27.0,215.0,15514031.0
289,Jordan Hamilton,New Orleans Pelicans,SG,6-7,Texas,25.0,25.0,220.0,1015421.0
290,Jrue Holiday,New Orleans Pelicans,PG,6-4,UCLA,11.0,25.0,205.0,10595507.0
291,Orlando Johnson,New Orleans Pelicans,SG,6-5,UC Santa Barbara,0.0,27.0,220.0,55722.0
292,Kendrick Perkins,New Orleans Pelicans,C,6-10,N/A,5.0,31.0,270.0,947276.0
293,Quincy Pondexter,New Orleans Pelicans,SF,6-7,Washington,20.0,28.0,220.0,3382023.0
294,LaMarcus Aldridge,San Antonio Spurs,PF,6-11,Texas,12.0,30.0,240.0,19689000.0
295,Kyle Anderson,San Antonio Spurs,SF,6-9,UCLA,1.0,22.0,230.0,1142880.0
296,Matt Bonner,San Antonio Spurs,C,6-10,Florida,15.0,36.0,235.0,947276.0
297,Boris Diaw,San Antonio Spurs,C,6-8,N/A,33.0,34.0,250.0,7500000.0
298,Tim Duncan,San Antonio Spurs,C,6-11,Wake Forest,21.0,40.0,250.0,5250000.0
299,Manu Ginobili,San Antonio Spurs,SG,6-6,N/A,20.0,38.0,205.0,2814000.0
300,Danny Green,San Antonio Spurs,SG,6-6,North Carolina,14.0,28.0,215.0,10000000.0
301,Kawhi Leonard,San Antonio Spurs,SF,6-7,San Diego State,2.0,24.0,230.0,16407500.0
302,Boban Marjanovic,San Antonio Spurs,C,7-3,N/A,40.0,27.0,290.0,1200000.0
303,Kevin Martin,San Antonio Spurs,SG,6-7,Western Carolina,23.0,33.0,199.0,200600.0
304,Andre Miller,San Antonio Spurs,PG,6-3,Utah,24.0,40.0,200.0,250750.0
305,Patty Mills,San Antonio Spurs,PG,6-0,Saint Mary's,8.0,27.0,185.0,3578947.0
306,Tony Parker,San Antonio Spurs,PG,6-2,N/A,9.0,34.0,185.0,13437500.0
307,Jonathon Simmons,San Antonio Spurs,SG,6-6,Houston,17.0,26.0,195.0,525093.0
308,David West,San Antonio Spurs,PF,6-9,Xavier,30.0,35.0,250.0,1499187.0
309,Kent Bazemore,Atlanta Hawks,SF,6-5,Old Dominion,24.0,26.0,201.0,2000000.0
310,Tim Hardaway Jr.,Atlanta Hawks,SG,6-6,Michigan,10.0,24.0,205.0,1304520.0
311,Kirk Hinrich,Atlanta Hawks,SG,6-4,Kansas,12.0,35.0,190.0,2854940.0
312,Al Horford,Atlanta Hawks,C,6-10,Florida,15.0,30.0,245.0,12000000.0
313,Kris Humphries,Atlanta Hawks,PF,6-9,Minnesota,43.0,31.0,235.0,1000000.0
314,Kyle Korver,Atlanta Hawks,SG,6-7,Creighton,26.0,35.0,212.0,5746479.0
315,Paul Millsap,Atlanta Hawks,PF,6-8,Louisiana Tech,4.0,31.0,246.0,18671659.0
316,Mike Muscala,Atlanta Hawks,PF,6-11,Bucknell,31.0,24.0,240.0,947276.0
317,Lamar Patterson,Atlanta Hawks,SG,6-5,Pittsburgh,13.0,24.0,225.0,525093.0
318,Dennis Schroder,Atlanta Hawks,PG,6-1,N/A,17.0,22.0,172.0,1763400.0
319,Mike Scott,Atlanta Hawks,PF,6-8,Virginia,32.0,27.0,237.0,3333333.0
320,Thabo Sefolosha,Atlanta Hawks,SF,6-7,N/A,25.0,32.0,220.0,4000000.0
321,Tiago Splitter,Atlanta Hawks,C,6-11,N/A,11.0,31.0,245.0,9756250.0
322,Walter Tavares,Atlanta Hawks,C,7-3,N/A,22.0,24.0,260.0,1000000.0
323,Jeff Teague,Atlanta Hawks,PG,6-2,Wake Forest,0.0,27.0,186.0,8000000.0
324,Nicolas Batum,Charlotte Hornets,SG,6-8,N/A,5.0,27.0,200.0,13125306.0
325,Troy Daniels,Charlotte Hornets,SG,6-4,Virginia Commonwealth,30.0,24.0,205.0,947276.0
326,Jorge Gutierrez,Charlotte Hornets,PG,6-3,California,12.0,27.0,189.0,189455.0
327,Tyler Hansbrough,Charlotte Hornets,PF,6-9,North Carolina,50.0,30.0,250.0,947276.0
328,Aaron Harrison,Charlotte Hornets,SG,6-6,Kentucky,9.0,21.0,210.0,525093.0
329,Spencer Hawes,Charlotte Hornets,PF,7-1,Washington,0.0,28.0,245.0,6110034.0
330,Al Jefferson,Charlotte Hornets,C,6-10,N/A,25.0,31.0,289.0,13500000.0
331,Frank Kaminsky III,Charlotte Hornets,C,7-0,Wisconsin,44.0,23.0,240.0,2612520.0
332,Michael Kidd-Gilchrist,Charlotte Hornets,SF,6-7,Kentucky,14.0,22.0,232.0,6331404.0
333,Jeremy Lamb,Charlotte Hornets,SG,6-5,Connecticut,3.0,24.0,185.0,3034356.0
334,Courtney Lee,Charlotte Hornets,SG,6-5,Western Kentucky,1.0,30.0,200.0,5675000.0
335,Jeremy Lin,Charlotte Hornets,PG,6-3,Harvard,7.0,27.0,200.0,2139000.0
336,Kemba Walker,Charlotte Hornets,PG,6-1,Connecticut,15.0,26.0,184.0,12000000.0
337,Marvin Williams,Charlotte Hornets,PF,6-9,North Carolina,2.0,29.0,237.0,7000000.0
338,Cody Zeller,Charlotte Hornets,C,7-0,Indiana,40.0,23.0,240.0,4204200.0
339,Chris Bosh,Miami Heat,PF,6-11,Georgia Tech,1.0,32.0,235.0,22192730.0
340,Luol Deng,Miami Heat,SF,6-9,Duke,9.0,31.0,220.0,10151612.0
341,Goran Dragic,Miami Heat,PG,6-3,N/A,7.0,30.0,190.0,14783000.0
342,Gerald Green,Miami Heat,SF,6-7,N/A,14.0,30.0,205.0,947276.0
343,Udonis Haslem,Miami Heat,PF,6-8,Florida,40.0,36.0,235.0,2854940.0
344,Joe Johnson,Miami Heat,SF,6-7,Arkansas,2.0,34.0,240.0,261894.0
345,Tyler Johnson,Miami Heat,SG,6-4,Fresno State,8.0,24.0,186.0,845059.0
346,Josh McRoberts,Miami Heat,PF,6-10,Duke,4.0,29.0,240.0,5543725.0
347,Josh Richardson,Miami Heat,SG,6-6,Tennessee,0.0,22.0,200.0,525093.0
348,Amar'e Stoudemire,Miami Heat,PF,6-10,N/A,5.0,33.0,245.0,947276.0
349,Dwyane Wade,Miami Heat,SG,6-4,Marquette,3.0,34.0,220.0,20000000.0
350,Briante Weber,Miami Heat,PG,6-2,Virginia Commonwealth,12.0,23.0,165.0,0.0
351,Hassan Whiteside,Miami Heat,C,7-0,Marshall,21.0,26.0,265.0,981348.0
352,Justise Winslow,Miami Heat,SF,6-7,Duke,20.0,20.0,225.0,2481720.0
353,Dorell Wright,Miami Heat,SF,6-9,N/A,11.0,30.0,205.0,0.0
354,Dewayne Dedmon,Orlando Magic,C,7-0,USC,3.0,26.0,245.0,947276.0
355,Evan Fournier,Orlando Magic,SG,6-7,N/A,10.0,23.0,205.0,2288205.0
356,Aaron Gordon,Orlando Magic,PF,6-9,Arizona,0.0,20.0,220.0,4171680.0
357,Mario Hezonja,Orlando Magic,SG,6-8,N/A,23.0,21.0,218.0,3741480.0
358,Ersan Ilyasova,Orlando Magic,PF,6-10,N/A,7.0,29.0,235.0,7900000.0
359,Brandon Jennings,Orlando Magic,PG,6-1,N/A,55.0,26.0,169.0,8344497.0
360,Devyn Marble,Orlando Magic,SF,6-6,Iowa,11.0,23.0,200.0,845059.0
361,Shabazz Napier,Orlando Magic,PG,6-1,Connecticut,13.0,24.0,175.0,1294440.0
362,Andrew Nicholson,Orlando Magic,PF,6-9,St. Bonaventure,44.0,26.0,250.0,2380593.0
363,Victor Oladipo,Orlando Magic,SG,6-4,Indiana,5.0,24.0,210.0,5192520.0
364,Elfrid Payton,Orlando Magic,PG,6-4,Louisiana-Lafayette,4.0,22.0,185.0,2505720.0
365,Jason Smith,Orlando Magic,PF,7-0,Colorado State,14.0,30.0,240.0,4300000.0
366,Nikola Vucevic,Orlando Magic,C,7-0,USC,9.0,25.0,260.0,11250000.0
367,C.J. Watson,Orlando Magic,PG,6-2,Tennessee,32.0,32.0,175.0,5000000.0
368,Alan Anderson,Washington Wizards,SG,6-6,Michigan State,6.0,33.0,220.0,4000000.0
369,Bradley Beal,Washington Wizards,SG,6-5,Florida,3.0,22.0,207.0,5694674.0
370,Jared Dudley,Washington Wizards,SF,6-7,Boston College,1.0,30.0,225.0,4375000.0
371,Jarell Eddie,Washington Wizards,SG,6-7,Virginia Tech,8.0,24.0,218.0,561716.0
372,Drew Gooden,Washington Wizards,PF,6-10,Kansas,90.0,34.0,250.0,3300000.0
373,Marcin Gortat,Washington Wizards,C,6-11,N/A,13.0,32.0,240.0,11217391.0
374,JJ Hickson,Washington Wizards,C,6-9,North Carolina State,21.0,27.0,242.0,273038.0
375,Nene Hilario,Washington Wizards,C,6-11,N/A,42.0,33.0,250.0,13000000.0
376,Markieff Morris,Washington Wizards,PF,6-10,Kansas,5.0,26.0,245.0,8000000.0
377,Kelly Oubre Jr.,Washington Wizards,SF,6-7,Kansas,12.0,20.0,205.0,1920240.0
378,Otto Porter Jr.,Washington Wizards,SF,6-8,Georgetown,22.0,23.0,198.0,4662960.0
379,Ramon Sessions,Washington Wizards,PG,6-3,Nevada,7.0,30.0,190.0,2170465.0
380,Garrett Temple,Washington Wizards,SG,6-6,LSU,17.0,30.0,195.0,1100602.0
381,Marcus Thornton,Washington Wizards,SF,6-4,LSU,15.0,29.0,205.0,200600.0
382,John Wall,Washington Wizards,PG,6-4,Kentucky,2.0,25.0,195.0,15851950.0
383,Darrell Arthur,Denver Nuggets,PF,6-9,Kansas,0.0,28.0,235.0,2814000.0
384,D.J. Augustin,Denver Nuggets,PG,6-0,Texas,12.0,28.0,183.0,3000000.0
385,Will Barton,Denver Nuggets,SF,6-6,Memphis,5.0,25.0,175.0,3533333.0
386,Wilson Chandler,Denver Nuggets,SF,6-8,DePaul,21.0,29.0,225.0,10449438.0
387,Kenneth Faried,Denver Nuggets,PF,6-8,Morehead State,35.0,26.0,228.0,11235955.0
388,Danilo Gallinari,Denver Nuggets,SF,6-10,N/A,8.0,27.0,225.0,14000000.0
389,Gary Harris,Denver Nuggets,SG,6-4,Michigan State,14.0,21.0,210.0,1584480.0
390,Nikola Jokic,Denver Nuggets,C,6-10,N/A,15.0,21.0,250.0,1300000.0
391,Joffrey Lauvergne,Denver Nuggets,C,6-11,N/A,77.0,24.0,220.0,1709719.0
392,Mike Miller,Denver Nuggets,SG,6-8,Florida,3.0,36.0,218.0,947276.0
393,Emmanuel Mudiay,Denver Nuggets,PG,6-5,N/A,0.0,20.0,200.0,3102240.0
394,Jameer Nelson,Denver Nuggets,PG,6-0,Saint Joseph's,1.0,34.0,190.0,4345000.0
395,Jusuf Nurkic,Denver Nuggets,C,7-0,N/A,23.0,21.0,280.0,1842000.0
396,JaKarr Sampson,Denver Nuggets,SG,6-9,St. John's,9.0,23.0,214.0,258489.0
397,Axel Toupane,Denver Nuggets,SG,6-7,N/A,6.0,23.0,210.0,0.0
398,Nemanja Bjelica,Minnesota Timberwolves,PF,6-10,N/A,88.0,28.0,240.0,3950001.0
399,Gorgui Dieng,Minnesota Timberwolves,C,6-11,Louisville,5.0,26.0,241.0,1474440.0
400,Kevin Garnett,Minnesota Timberwolves,PF,6-11,N/A,21.0,40.0,240.0,8500000.0
401,Tyus Jones,Minnesota Timberwolves,PG,6-2,Duke,1.0,20.0,195.0,1282080.0
402,Zach LaVine,Minnesota Timberwolves,PG,6-5,UCLA,8.0,21.0,189.0,2148360.0
403,Shabazz Muhammad,Minnesota Timberwolves,SF,6-6,UCLA,15.0,23.0,223.0,2056920.0
404,Adreian Payne,Minnesota Timberwolves,PF,6-10,Michigan State,33.0,25.0,237.0,1938840.0
405,Nikola Pekovic,Minnesota Timberwolves,C,6-11,N/A,14.0,30.0,307.0,12100000.0
406,Tayshaun Prince,Minnesota Timberwolves,SF,6-9,Kentucky,12.0,36.0,212.0,947276.0
407,Ricky Rubio,Minnesota Timberwolves,PG,6-4,N/A,9.0,25.0,194.0,12700000.0
408,Damjan Rudez,Minnesota Timberwolves,SF,6-9,N/A,10.0,29.0,230.0,1149500.0
409,Greg Smith,Minnesota Timberwolves,PF,6-10,Fresno State,4.0,25.0,250.0,0.0
410,Karl-Anthony Towns,Minnesota Timberwolves,C,7-0,Kentucky,32.0,20.0,244.0,5703600.0
411,Andrew Wiggins,Minnesota Timberwolves,SG,6-8,Kansas,22.0,21.0,199.0,5758680.0
412,Steven Adams,Oklahoma City Thunder,C,7-0,Pittsburgh,12.0,22.0,255.0,2279040.0
413,Nick Collison,Oklahoma City Thunder,PF,6-10,Kansas,4.0,35.0,255.0,3750000.0
414,Kevin Durant,Oklahoma City Thunder,SF,6-9,Texas,35.0,27.0,240.0,20158622.0
415,Randy Foye,Oklahoma City Thunder,SG,6-4,Villanova,6.0,32.0,213.0,3135000.0
416,Josh Huestis,Oklahoma City Thunder,SF,6-7,Stanford,34.0,24.0,230.0,1140240.0
417,Serge Ibaka,Oklahoma City Thunder,PF,6-10,N/A,9.0,26.0,245.0,12250000.0
418,Enes Kanter,Oklahoma City Thunder,C,6-11,Kentucky,11.0,24.0,245.0,16407500.0
419,Mitch McGary,Oklahoma City Thunder,PF,6-10,Michigan,33.0,24.0,255.0,1463040.0
420,Nazr Mohammed,Oklahoma City Thunder,C,6-10,Kentucky,13.0,38.0,250.0,222888.0
421,Anthony Morrow,Oklahoma City Thunder,SG,6-5,Georgia Tech,2.0,30.0,210.0,3344000.0
422,Cameron Payne,Oklahoma City Thunder,PG,6-3,Murray State,22.0,21.0,185.0,2021520.0
423,Andre Roberson,Oklahoma City Thunder,SG,6-7,Colorado,21.0,24.0,210.0,1210800.0
424,Kyle Singler,Oklahoma City Thunder,SF,6-8,Duke,5.0,28.0,228.0,4500000.0
425,Dion Waiters,Oklahoma City Thunder,SG,6-4,Syracuse,3.0,24.0,220.0,5138430.0
426,Russell Westbrook,Oklahoma City Thunder,PG,6-3,UCLA,0.0,27.0,200.0,16744218.0
427,Cliff Alexander,Portland Trail Blazers,PF,6-8,Kansas,34.0,20.0,240.0,525093.0
428,Al-Farouq Aminu,Portland Trail Blazers,SF,6-9,Wake Forest,8.0,25.0,215.0,8042895.0
429,Pat Connaughton,Portland Trail Blazers,SG,6-5,Notre Dame,5.0,23.0,206.0,625093.0
430,Allen Crabbe,Portland Trail Blazers,SG,6-6,California,23.0,24.0,210.0,947276.0
431,Ed Davis,Portland Trail Blazers,C,6-10,North Carolina,17.0,27.0,240.0,6980802.0
432,Maurice Harkless,Portland Trail Blazers,SF,6-9,St. John's,4.0,23.0,215.0,2894059.0
433,Gerald Henderson,Portland Trail Blazers,SG,6-5,Duke,9.0,28.0,215.0,6000000.0
434,Chris Kaman,Portland Trail Blazers,C,7-0,Central Michigan,35.0,34.0,265.0,5016000.0
435,Meyers Leonard,Portland Trail Blazers,PF,7-1,Illinois,11.0,24.0,245.0,3075880.0
436,Damian Lillard,Portland Trail Blazers,PG,6-3,Weber State,0.0,25.0,195.0,4236287.0
437,C.J. McCollum,Portland Trail Blazers,SG,6-4,Lehigh,3.0,24.0,200.0,2525160.0
438,Luis Montero,Portland Trail Blazers,SG,6-7,Westchester CC,44.0,23.0,185.0,525093.0
439,Mason Plumlee,Portland Trail Blazers,C,6-11,Duke,24.0,26.0,235.0,1415520.0
440,Brian Roberts,Portland Trail Blazers,PG,6-1,Dayton,2.0,30.0,173.0,2854940.0
441,Noah Vonleh,Portland Trail Blazers,PF,6-9,Indiana,21.0,20.0,240.0,2637720.0
442,Trevor Booker,Utah Jazz,PF,6-8,Clemson,33.0,28.0,228.0,4775000.0
443,Trey Burke,Utah Jazz,PG,6-1,Michigan,3.0,23.0,191.0,2658240.0
444,Alec Burks,Utah Jazz,SG,6-6,Colorado,10.0,24.0,214.0,9463484.0
445,Dante Exum,Utah Jazz,PG,6-6,N/A,11.0,20.0,190.0,3777720.0
446,Derrick Favors,Utah Jazz,PF,6-10,Georgia Tech,15.0,24.0,265.0,12000000.0
447,Rudy Gobert,Utah Jazz,C,7-1,N/A,27.0,23.0,245.0,1175880.0
448,Gordon Hayward,Utah Jazz,SF,6-8,Butler,20.0,26.0,226.0,15409570.0
449,Rodney Hood,Utah Jazz,SG,6-8,Duke,5.0,23.0,206.0,1348440.0
450,Joe Ingles,Utah Jazz,SF,6-8,N/A,2.0,28.0,226.0,2050000.0
451,Chris Johnson,Utah Jazz,SF,6-6,Dayton,23.0,26.0,206.0,981348.0
452,Trey Lyles,Utah Jazz,PF,6-10,Kentucky,41.0,20.0,234.0,2239800.0
453,Shelvin Mack,Utah Jazz,PG,6-3,Butler,8.0,26.0,203.0,2433333.0
454,Raul Neto,Utah Jazz,PG,6-1,N/A,25.0,24.0,179.0,900000.0
455,Tibor Pleiss,Utah Jazz,C,7-3,N/A,21.0,26.0,256.0,2900000.0
456,Jeff Withey,Utah Jazz,C,7-0,Kansas,24.0,26.0,231.0,947276.0
